title:test0826, start timestamp:1629975491.659043, stop timestamp:1629975591.327375, headset type:INSIGHT, headset serial:A2D2052F, headset firmware:932, channels:43, sampling rate:eeg_128;mot_64;mc_8, samples:12523     , version:2.1, 
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.T7,EQ.Pz,EQ.T8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ,MC.Action,MC.ActionPower,MC.IsActive
1629975491.659043,79.000000,0.000000,4200.000000,4241.025879,4173.846191,4234.871582,4220.000000,16214.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,
1629975491.666758,80.000000,0.000000,4251.794922,4238.461426,4161.025879,4229.230957,4191.282227,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,40.000000,0.000000,0.192013,-0.233398,0.690674,0.656982,0.604501,-0.824720,0.013184,-63.172020,-60.299122,47.096760,,,
1629975491.674472,81.000000,0.000000,4220.512695,4230.256348,4156.410156,4204.615234,4176.410156,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,
1629975491.682287,82.000000,0.000000,4174.871582,4234.871582,4172.820313,4215.384766,4153.846191,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,41.000000,0.000000,0.192309,-0.233154,0.690674,0.656982,0.605966,-0.826673,0.015625,-64.152290,-60.250744,47.052681,,,
1629975491.690002,83.000000,0.000000,4203.589844,4246.666504,4184.615234,4227.692383,4166.666504,16214.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,
1629975491.697816,84.000000,0.000000,4250.256348,4248.205078,4183.589844,4212.820313,4212.820313,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,42.000000,0.000000,0.192013,-0.233398,0.690674,0.656982,0.603525,-0.836927,0.016602,-65.034538,-60.326839,47.072826,,,
1629975491.705530,85.000000,0.000000,4280.512695,4243.589844,4166.666504,4207.692383,4246.153809,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,
1629975491.713345,86.000000,0.000000,4260.000000,4244.102539,4170.769043,4211.282227,4246.153809,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,43.000000,0.000000,0.192013,-0.233398,0.690674,0.656982,0.615244,-0.829114,0.022461,-62.837791,-60.455135,47.031143,,,
1629975491.721159,87.000000,0.000000,4228.205078,4243.589844,4174.871582,4193.846191,4206.153809,16214.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,
1629975491.728874,88.000000,0.000000,4215.384766,4245.641113,4158.461426,4183.077148,4178.461426,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,44.000000,0.000000,0.192889,-0.233398,0.690430,0.656982,0.609384,-0.815930,0.025391,-63.851486,-60.391159,47.113258,,,
